,gender,event,medal,abb,country,type,year
1488,Men,Marathon 4,Silver,FRA,France,Athletics,1984
1489,Men,Marathon 4,Bronze,CAN,Canada,Athletics,1984
1490,Men,Marathon 5,Gold,CAN,Canada,Athletics,1984
1491,Men,Marathon 5,Silver,USA,USA,Athletics,1984
1492,Men,Marathon 5,Bronze,USA,USA,Athletics,1984
1493,Men,Cross Country 1000 m C6,Gold,GBR,UK,Athletics,1984
1494,Men,Cross Country 1000 m C6,Silver,SWE,Sweden,Athletics,1984
1495,Men,Cross Country 1000 m C6,Bronze,USA,USA,Athletics,1984
1496,Men,Cross Country 1500 m C7,Gold,CAN,Canada,Athletics,1984
1497,Men,Cross Country 1500 m C7,Silver,GBR,UK,Athletics,1984
1498,Men,Cross Country 1500 m C7,Bronze,NED,Netherlands,Athletics,1984
1499,Men,Cross Country 1500 m C8,Gold,POR,Portugal,Athletics,1984
1500,Men,Cross Country 1500 m C8,Silver,FIN,Finland,Athletics,1984
1501,Men,Cross Country 1500 m C8,Bronze,GBR,UK,Athletics,1984
1502,Men,Slalom 1A,Gold,ITA,Italy,Athletics,1984
1503,Men,Slalom 1A,Silver,MEX,Mexico,Athletics,1984
1504,Men,Slalom 1A,Bronze,USA,USA,Athletics,1984
1505,Men,Slalom 1B,Gold,JPN,Japan,Athletics,1984
1506,Men,Slalom 1B,Silver,FRA,France,Athletics,1984
1507,Men,Slalom 1B,Bronze,AUS,Australia,Athletics,1984
1508,Men,Slalom 1C,Gold,NZL,New Zealand,Athletics,1984
1509,Men,Slalom 1C,Silver,JPN,Japan,Athletics,1984
1510,Men,Slalom 1C,Bronze,FRG,Germany,Athletics,1984
1511,Men,Slalom C1,Gold,DEN,Denmark,Athletics,1984
1512,Men,Slalom C1,Silver,USA,USA,Athletics,1984
1513,Men,Slalom C1,Bronze,GBR,UK,Athletics,1984
1514,Men,Slalom C2,Gold,IRL,Ireland,Athletics,1984
1515,Men,Slalom C2,Silver,USA,USA,Athletics,1984
1516,Men,Slalom C2,Bronze,CAN,Canada,Athletics,1984
1517,Men,Slalom C3,Gold,USA,USA,Athletics,1984
1518,Men,Slalom C3,Silver,USA,USA,Athletics,1984
1519,Men,Slalom C3,Bronze,GBR,UK,Athletics,1984
1520,Men,Slalom C4,Gold,USA,USA,Athletics,1984
1521,Men,Slalom C4,Silver,CAN,Canada,Athletics,1984
1522,Men,Slalom C4,Bronze,GBR,UK,Athletics,1984
1523,Men,Slalom 2,Gold,FRG,Germany,Athletics,1984
1524,Men,Slalom 2,Silver,JPN,Japan,Athletics,1984
1525,Men,Slalom 2,Bronze,NZL,New Zealand,Athletics,1984
1526,Men,Slalom 3,Gold,JPN,Japan,Athletics,1984
1527,Men,Slalom 3,Silver,CAN,Canada,Athletics,1984
1528,Men,Slalom 3,Bronze,BEL,Belgium,Athletics,1984
1529,Men,Slalom 4,Gold,JPN,Japan,Athletics,1984
1530,Men,Slalom 4,Silver,SWE,Sweden,Athletics,1984
1531,Men,Slalom 4,Bronze,SUI,Switzerland,Athletics,1984
1532,Men,Slalom 5,Gold,SUI,Switzerland,Athletics,1984
1533,Men,Slalom 5,Silver,AUS,Australia,Athletics,1984
1534,Men,Slalom 5,Bronze,JPN,Japan,Athletics,1984
1535,Men,Slalom (Leg) C2,Gold,USA,USA,Athletics,1984
1536,Men,Slalom (Leg) C2,Silver,DEN,Denmark,Athletics,1984
1537,Men,Slalom (Leg) C2,Bronze,CAN,Canada,Athletics,1984
1538,Men,High Jump A2,Gold,CAN,Canada,Athletics,1984
1539,Men,High Jump A2,Silver,GBR,UK,Athletics,1984
1540,Men,High Jump A3,Gold,BIR,,Athletics,1984
1541,Men,High Jump A3,Silver,IRL,Ireland,Athletics,1984
1542,Men,High Jump A4,Gold,USA,USA,Athletics,1984
1543,Men,High Jump A4,Silver,POL,Poland,Athletics,1984
1544,Men,High Jump A5,Gold,FRG,Germany,Athletics,1984
1545,Men,High Jump A5,Silver,GBR,UK,Athletics,1984
1546,Men,High Jump A6,Gold,AUS,Australia,Athletics,1984
1547,Men,High Jump A6,Silver,HUN,Hungary,Athletics,1984
1548,Men,High Jump B1,Gold,ITA,Italy,Athletics,1984
1549,Men,High Jump B1,Silver,POL,Poland,Athletics,1984
1550,Men,High Jump B1,Bronze,SUI,Switzerland,Athletics,1984
1551,Men,High Jump B2,Gold,FRA,France,Athletics,1984
1552,Men,High Jump B2,Silver,BEL,Belgium,Athletics,1984
1553,Men,High Jump B2,Bronze,FRG,Germany,Athletics,1984
1554,Men,High Jump B3,Gold,HUN,Hungary,Athletics,1984
1555,Men,High Jump B3,Silver,ITA,Italy,Athletics,1984
1556,Men,High Jump B3,Bronze,USA,USA,Athletics,1984
1557,Men,Long Jump A2,Gold,AUS,Australia,Athletics,1984
1558,Men,Long Jump A2,Silver,SUI,Switzerland,Athletics,1984
1559,Men,Long Jump A2,Bronze,GBR,UK,Athletics,1984
1560,Men,Long Jump A3,Gold,IRL,Ireland,Athletics,1984
1561,Men,Long Jump A3,Silver,BIR,,Athletics,1984
1562,Men,Long Jump A3,Bronze,BIR,,Athletics,1984
1563,Men,Long Jump A4,Gold,USA,USA,Athletics,1984
1564,Men,Long Jump A4,Silver,AUS,Australia,Athletics,1984
1565,Men,Long Jump A4,Bronze,POL,Poland,Athletics,1984
1566,Men,Long Jump A5,Gold,POL,Poland,Athletics,1984
1567,Men,Long Jump A5,Silver,CHN,China,Athletics,1984
1568,Men,Long Jump A5,Bronze,FRG,Germany,Athletics,1984
1569,Men,Long Jump A6,Gold,AUS,Australia,Athletics,1984
1570,Men,Long Jump A6,Silver,POL,Poland,Athletics,1984
1571,Men,Long Jump A6,Bronze,AUS,Australia,Athletics,1984
1572,Men,Long Jump B1,Gold,CAN,Canada,Athletics,1984
1573,Men,Long Jump B1,Silver,POL,Poland,Athletics,1984
1574,Men,Long Jump B1,Bronze,ESP,Spain,Athletics,1984
1575,Men,Long Jump B2,Gold,YUG,Serbia,Athletics,1984
1576,Men,Long Jump B2,Bronze,FRG,Germany,Athletics,1984
1577,Men,Long Jump B3,Gold,USA,USA,Athletics,1984
1578,Men,Long Jump B3,Silver,GDR,Germany,Athletics,1984
1579,Men,Long Jump B3,Bronze,USA,USA,Athletics,1984
1580,Men,Long Jump C7,Gold,BEL,Belgium,Athletics,1984
1581,Men,Long Jump C7,Silver,FRA,France,Athletics,1984
1582,Men,Long Jump C7,Bronze,FIN,Finland,Athletics,1984
1583,Men,Long Jump C8,Gold,IRL,Ireland,Athletics,1984
1584,Men,Long Jump C8,Silver,FRG,Germany,Athletics,1984
1585,Men,Long Jump C8,Bronze,POR,Portugal,Athletics,1984
1586,Men,Triple Jump A5,Gold,POL,Poland,Athletics,1984
1587,Men,Triple Jump A5,Silver,AUS,Australia,Athletics,1984
1588,Men,Triple Jump A6,Gold,AUS,Australia,Athletics,1984
1589,Men,Triple Jump A6,Silver,NOR,Norway,Athletics,1984
1590,Men,Triple Jump A6,Bronze,AUS,Australia,Athletics,1984
1591,Men,Triple Jump B1,Gold,NED,Netherlands,Athletics,1984
1592,Men,Triple Jump B1,Silver,ESP,Spain,Athletics,1984
1593,Men,Triple Jump B1,Bronze,FIN,Finland,Athletics,1984
1594,Men,Triple Jump B2,Gold,YUG,Serbia,Athletics,1984
1595,Men,Triple Jump B2,Silver,JPN,Japan,Athletics,1984
1596,Men,Triple Jump B2,Bronze,GBR,UK,Athletics,1984
1597,Men,Triple Jump B3,Gold,USA,USA,Athletics,1984
1598,Men,Triple Jump B3,Silver,USA,USA,Athletics,1984
1599,Men,Triple Jump B3,Bronze,POL,Poland,Athletics,1984
1600,Men,Shot Put 1A,Gold,FRG,Germany,Athletics,1984
1601,Men,Shot Put 1A,Silver,USA,USA,Athletics,1984
1602,Men,Shot Put 1A,Bronze,FRG,Germany,Athletics,1984
1603,Men,Shot Put 1B,Gold,USA,USA,Athletics,1984
1604,Men,Shot Put 1B,Silver,CAN,Canada,Athletics,1984
1605,Men,Shot Put 1B,Bronze,CAN,Canada,Athletics,1984
1606,Men,Shot Put 1C,Gold,BRA,Brazil,Athletics,1984
1607,Men,Shot Put 1C,Silver,FRG,Germany,Athletics,1984
1608,Men,Shot Put 1C,Bronze,FRG,Germany,Athletics,1984
1609,Men,Shot Put A1,Gold,FRG,Germany,Athletics,1984
1610,Men,Shot Put A1,Silver,USA,USA,Athletics,1984
1611,Men,Shot Put A1,Bronze,CAN,Canada,Athletics,1984
1612,Men,Shot Put A2,Gold,POL,Poland,Athletics,1984
1613,Men,Shot Put A2,Silver,AUT,Austria,Athletics,1984
1614,Men,Shot Put A2,Bronze,ISR,Israel,Athletics,1984
1615,Men,Shot Put A3,Gold,IRL,Ireland,Athletics,1984
1616,Men,Shot Put A3,Silver,FRG,Germany,Athletics,1984
1617,Men,Shot Put A3,Bronze,CAN,Canada,Athletics,1984
1618,Men,Shot Put A4,Gold,FRG,Germany,Athletics,1984
1619,Men,Shot Put A4,Silver,CHN,China,Athletics,1984
1620,Men,Shot Put A4,Bronze,USA,USA,Athletics,1984
1621,Men,Shot Put A6-8,Gold,FRG,Germany,Athletics,1984
1622,Men,Shot Put A6-8,Silver,CAN,Canada,Athletics,1984
1623,Men,Shot Put A6-8,Bronze,FIN,Finland,Athletics,1984
1624,Men,Shot Put A9,Gold,USA,USA,Athletics,1984
1625,Men,Shot Put A9,Silver,POL,Poland,Athletics,1984
1626,Men,Shot Put A9,Bronze,AUT,Austria,Athletics,1984
1627,Men,Shot Put B1,Gold,USA,USA,Athletics,1984
1628,Men,Shot Put B1,Silver,FRG,Germany,Athletics,1984
1629,Men,Shot Put B2,Gold,USA,USA,Athletics,1984
1630,Men,Shot Put B2,Silver,USA,USA,Athletics,1984
1631,Men,Shot Put B2,Bronze,FIN,Finland,Athletics,1984
1632,Men,Shot Put B3,Gold,SWE,Sweden,Athletics,1984
1633,Men,Shot Put B3,Silver,USA,USA,Athletics,1984
1634,Men,Shot Put B3,Bronze,FIN,Finland,Athletics,1984
1635,Men,Shot Put C2,Gold,IRL,Ireland,Athletics,1984
1636,Men,Shot Put C2,Silver,YUG,Serbia,Athletics,1984
1637,Men,Shot Put C2,Bronze,GBR,UK,Athletics,1984
1638,Men,Shot Put C3,Gold,SUI,Switzerland,Athletics,1984
1639,Men,Shot Put C3,Silver,GBR,UK,Athletics,1984
1640,Men,Shot Put C3,Bronze,IRL,Ireland,Athletics,1984
1641,Men,Shot Put C4,Gold,FRA,France,Athletics,1984
1642,Men,Shot Put C4,Silver,NOR,Norway,Athletics,1984
1643,Men,Shot Put C4,Bronze,CAN,Canada,Athletics,1984
1644,Men,Shot Put C5,Gold,AUT,Austria,Athletics,1984
1645,Men,Shot Put C5,Silver,ITA,Italy,Athletics,1984
1646,Men,Shot Put C5,Bronze,USA,USA,Athletics,1984
1647,Men,Shot Put C6,Gold,BEL,Belgium,Athletics,1984
1648,Men,Shot Put C6,Silver,FRG,Germany,Athletics,1984
1649,Men,Shot Put C6,Bronze,USA,USA,Athletics,1984
1650,Men,Shot Put C7,Gold,YUG,Serbia,Athletics,1984
1651,Men,Shot Put C7,Silver,SWE,Sweden,Athletics,1984
1652,Men,Shot Put C7,Bronze,FIN,Finland,Athletics,1984
1653,Men,Shot Put C8,Gold,USA,USA,Athletics,1984
1654,Men,Shot Put C8,Silver,CAN,Canada,Athletics,1984
1655,Men,Shot Put C8,Bronze,GBR,UK,Athletics,1984
1656,Men,Shot Put L1,Gold,GBR,UK,Athletics,1984
1657,Men,Shot Put L1,Silver,USA,USA,Athletics,1984
1658,Men,Shot Put L1,Bronze,NOR,Norway,Athletics,1984
1659,Men,Shot Put L2,Gold,HUN,Hungary,Athletics,1984
1660,Men,Shot Put L2,Silver,GBR,UK,Athletics,1984
1661,Men,Shot Put L2,Bronze,IRL,Ireland,Athletics,1984
1662,Men,Shot Put L3,Gold,SWE,Sweden,Athletics,1984
1663,Men,Shot Put L3,Silver,GBR,UK,Athletics,1984
1664,Men,Shot Put L3,Bronze,ESP,Spain,Athletics,1984
1665,Men,Shot Put L4,Gold,GBR,UK,Athletics,1984
1666,Men,Shot Put L4,Silver,USA,USA,Athletics,1984
1667,Men,Shot Put L5,Gold,FRG,Germany,Athletics,1984
1668,Men,Shot Put L5,Silver,FRG,Germany,Athletics,1984
1669,Men,Shot Put L5,Bronze,GBR,UK,Athletics,1984
1670,Men,Shot Put L6,Gold,GBR,UK,Athletics,1984
1671,Men,Shot Put L6,Silver,IND,India,Athletics,1984
1672,Men,Shot Put L6,Bronze,GBR,UK,Athletics,1984
1673,Men,Shot Put 2,Gold,SWE,Sweden,Athletics,1984
1674,Men,Shot Put 2,Silver,GBR,UK,Athletics,1984
1675,Men,Shot Put 2,Bronze,POL,Poland,Athletics,1984
1676,Men,Shot Put 3,Gold,KEN,Kenya,Athletics,1984
1677,Men,Shot Put 3,Silver,NOR,Norway,Athletics,1984
1678,Men,Shot Put 3,Bronze,YUG,Serbia,Athletics,1984
1679,Men,Shot Put 4,Gold,CAN,Canada,Athletics,1984
1680,Men,Shot Put 4,Silver,USA,USA,Athletics,1984
1681,Men,Shot Put 4,Bronze,GBR,UK,Athletics,1984
1682,Men,Shot Put 5,Gold,POL,Poland,Athletics,1984
1683,Men,Shot Put 5,Silver,FRA,France,Athletics,1984
1684,Men,Shot Put 5,Bronze,EGY,Egypt,Athletics,1984
1685,Men,Shot Put 6,Gold,ISR,Israel,Athletics,1984
1686,Men,Shot Put 6,Silver,SWE,Sweden,Athletics,1984
1687,Men,Shot Put 6,Bronze,ISR,Israel,Athletics,1984
1688,Men,Discus Throw 1C,Gold,FRG,Germany,Athletics,1984
1689,Men,Discus Throw 1C,Silver,BRA,Brazil,Athletics,1984
1690,Men,Discus Throw 1C,Bronze,NZL,New Zealand,Athletics,1984
1691,Men,Discus Throw A1,Gold,USA,USA,Athletics,1984
1692,Men,Discus Throw A1,Silver,FRG,Germany,Athletics,1984
1693,Men,Discus Throw A1,Bronze,USA,USA,Athletics,1984
1694,Men,Discus Throw A2,Gold,USA,USA,Athletics,1984
1695,Men,Discus Throw A2,Silver,AUS,Australia,Athletics,1984
1696,Men,Discus Throw A2,Bronze,POL,Poland,Athletics,1984
1697,Men,Discus Throw A3,Gold,IRL,Ireland,Athletics,1984
1698,Men,Discus Throw A3,Silver,POL,Poland,Athletics,1984
1699,Men,Discus Throw A3,Bronze,CHN,China,Athletics,1984
1700,Men,Discus Throw A4,Gold,USA,USA,Athletics,1984
1701,Men,Discus Throw A4,Silver,FRG,Germany,Athletics,1984
1702,Men,Discus Throw A4,Bronze,USA,USA,Athletics,1984
1703,Men,Discus Throw A6-8,Gold,CAN,Canada,Athletics,1984
1704,Men,Discus Throw A6-8,Silver,NED,Netherlands,Athletics,1984
1705,Men,Discus Throw A6-8,Bronze,FIN,Finland,Athletics,1984
1706,Men,Discus Throw A9,Gold,USA,USA,Athletics,1984
1707,Men,Discus Throw A9,Silver,GBR,UK,Athletics,1984
1708,Men,Discus Throw A9,Bronze,POL,Poland,Athletics,1984
1709,Men,Discus Throw B1,Gold,USA,USA,Athletics,1984
1710,Men,Discus Throw B1,Silver,FIN,Finland,Athletics,1984
1711,Men,Discus Throw B1,Bronze,FRG,Germany,Athletics,1984
1712,Men,Discus Throw B2,Gold,USA,USA,Athletics,1984
1713,Men,Discus Throw B2,Silver,USA,USA,Athletics,1984
1714,Men,Discus Throw B2,Bronze,JPN,Japan,Athletics,1984
1715,Men,Discus Throw C3,Gold,SUI,Switzerland,Athletics,1984
1716,Men,Discus Throw C3,Silver,GBR,UK,Athletics,1984
1717,Men,Discus Throw C3,Bronze,GBR,UK,Athletics,1984
1718,Men,Discus Throw C4,Gold,NOR,Norway,Athletics,1984
1719,Men,Discus Throw C4,Silver,USA,USA,Athletics,1984
1720,Men,Discus Throw C4,Bronze,FRA,France,Athletics,1984
1721,Men,Discus Throw C5,Gold,ITA,Italy,Athletics,1984
1722,Men,Discus Throw C5,Silver,USA,USA,Athletics,1984
1723,Men,Discus Throw C5,Bronze,AUT,Austria,Athletics,1984
1724,Men,Discus Throw C6,Gold,BEL,Belgium,Athletics,1984
1725,Men,Discus Throw C6,Silver,CAN,Canada,Athletics,1984
1726,Men,Discus Throw C6,Bronze,FRG,Germany,Athletics,1984
1727,Men,Discus Throw C7,Gold,NOR,Norway,Athletics,1984
1728,Men,Discus Throw C7,Silver,FIN,Finland,Athletics,1984
1729,Men,Discus Throw C7,Bronze,SWE,Sweden,Athletics,1984
1730,Men,Discus Throw C8,Gold,USA,USA,Athletics,1984
1731,Men,Discus Throw C8,Silver,GBR,UK,Athletics,1984
1732,Men,Discus Throw C8,Bronze,CAN,Canada,Athletics,1984
1733,Men,Discus Throw L1,Gold,NOR,Norway,Athletics,1984
1734,Men,Discus Throw L1,Silver,GBR,UK,Athletics,1984
1735,Men,Discus Throw L1,Bronze,USA,USA,Athletics,1984
1736,Men,Discus Throw L2,Gold,GBR,UK,Athletics,1984
1737,Men,Discus Throw L2,Silver,HUN,Hungary,Athletics,1984
1738,Men,Discus Throw L2,Bronze,USA,USA,Athletics,1984
1739,Men,Discus Throw L3,Gold,GBR,UK,Athletics,1984
1740,Men,Discus Throw L3,Silver,SWE,Sweden,Athletics,1984
1741,Men,Discus Throw L3,Bronze,ESP,Spain,Athletics,1984
1742,Men,Discus Throw L4,Gold,GBR,UK,Athletics,1984
1743,Men,Discus Throw L4,Silver,USA,USA,Athletics,1984
1744,Men,Discus Throw L5,Gold,FRG,Germany,Athletics,1984
1745,Men,Discus Throw L5,Silver,FRG,Germany,Athletics,1984
1746,Men,Discus Throw L5,Bronze,HUN,Hungary,Athletics,1984
1747,Men,Discus Throw L6,Gold,GBR,UK,Athletics,1984
1748,Men,Discus Throw L6,Silver,GBR,UK,Athletics,1984
1749,Men,Discus Throw L6,Bronze,IND,India,Athletics,1984
1750,Men,Discus Throw 2,Gold,SWE,Sweden,Athletics,1984
1751,Men,Discus Throw 2,Silver,POL,Poland,Athletics,1984
1752,Men,Discus Throw 2,Bronze,IRL,Ireland,Athletics,1984
1753,Men,Discus Throw 3,Gold,USA,USA,Athletics,1984
1754,Men,Discus Throw 3,Silver,KEN,Kenya,Athletics,1984
1755,Men,Discus Throw 3,Bronze,NOR,Norway,Athletics,1984
1756,Men,Discus Throw 4,Gold,AUS,Australia,Athletics,1984
1757,Men,Discus Throw 4,Silver,BEL,Belgium,Athletics,1984
1758,Men,Discus Throw 4,Bronze,FIN,Finland,Athletics,1984
1759,Men,Discus Throw 5,Gold,GBR,UK,Athletics,1984
1760,Men,Discus Throw 5,Silver,FRA,France,Athletics,1984
1761,Men,Discus Throw 5,Bronze,POL,Poland,Athletics,1984
1762,Men,Discus Throw 6,Gold,ISR,Israel,Athletics,1984
1763,Men,Discus Throw 6,Silver,ISR,Israel,Athletics,1984
1764,Men,Discus Throw 6,Bronze,SWE,Sweden,Athletics,1984
1765,Men,Javelin 1B,Gold,USA,USA,Athletics,1984
1766,Men,Javelin 1B,Silver,FRG,Germany,Athletics,1984
1767,Men,Javelin 1B,Bronze,FRA,France,Athletics,1984
1768,Men,Javelin 1C,Gold,BRA,Brazil,Athletics,1984
1769,Men,Javelin 1C,Silver,AUT,Austria,Athletics,1984
1770,Men,Javelin 1C,Bronze,FRG,Germany,Athletics,1984
1771,Men,Javelin A1,Gold,USA,USA,Athletics,1984
1772,Men,Javelin A1,Silver,AUT,Austria,Athletics,1984
1773,Men,Javelin A1,Bronze,USA,USA,Athletics,1984
1774,Men,Javelin A2,Gold,AUS,Australia,Athletics,1984
1775,Men,Javelin A2,Silver,NED,Netherlands,Athletics,1984
1776,Men,Javelin A2,Bronze,FRA,France,Athletics,1984
1777,Men,Javelin A3,Gold,FRG,Germany,Athletics,1984
1778,Men,Javelin A3,Silver,POL,Poland,Athletics,1984
1779,Men,Javelin A3,Bronze,GBR,UK,Athletics,1984
1780,Men,Javelin A4,Gold,USA,USA,Athletics,1984
1781,Men,Javelin A4,Silver,AUS,Australia,Athletics,1984
1782,Men,Javelin A4,Bronze,AUT,Austria,Athletics,1984
1783,Men,Javelin A6-8,Gold,AUT,Austria,Athletics,1984
1784,Men,Javelin A6-8,Silver,CAN,Canada,Athletics,1984
1785,Men,Javelin A6-8,Bronze,NED,Netherlands,Athletics,1984
1786,Men,Javelin A9,Gold,POL,Poland,Athletics,1984
1787,Men,Javelin A9,Silver,GBR,UK,Athletics,1984
1788,Men,Javelin A9,Bronze,USA,USA,Athletics,1984
1789,Men,Javelin B1,Gold,NOR,Norway,Athletics,1984
1790,Men,Javelin B1,Silver,YUG,Serbia,Athletics,1984
1791,Men,Javelin B1,Bronze,USA,USA,Athletics,1984
1792,Men,Javelin B2,Gold,FIN,Finland,Athletics,1984
1793,Men,Javelin B2,Silver,USA,USA,Athletics,1984
1794,Men,Javelin B2,Bronze,FIN,Finland,Athletics,1984
1795,Men,Javelin B3,Gold,FIN,Finland,Athletics,1984
1796,Men,Javelin B3,Silver,HUN,Hungary,Athletics,1984
1797,Men,Javelin B3,Bronze,FRA,France,Athletics,1984
1798,Men,Javelin C3,Gold,SUI,Switzerland,Athletics,1984
1799,Men,Javelin C3,Silver,GBR,UK,Athletics,1984
1800,Men,Javelin C3,Bronze,IRL,Ireland,Athletics,1984
1801,Men,Javelin C4,Gold,GBR,UK,Athletics,1984
1802,Men,Javelin C4,Silver,NOR,Norway,Athletics,1984
1803,Men,Javelin C4,Bronze,IRL,Ireland,Athletics,1984
1804,Men,Javelin C5,Gold,FRG,Germany,Athletics,1984
1805,Men,Javelin C5,Silver,AUT,Austria,Athletics,1984
1806,Men,Javelin C5,Bronze,BEL,Belgium,Athletics,1984
1807,Men,Javelin C6,Gold,GBR,UK,Athletics,1984
1808,Men,Javelin C6,Silver,FRG,Germany,Athletics,1984
1809,Men,Javelin C6,Bronze,FRG,Germany,Athletics,1984
1810,Men,Javelin C7,Gold,NOR,Norway,Athletics,1984
1811,Men,Javelin C7,Silver,SWE,Sweden,Athletics,1984
1812,Men,Javelin C7,Bronze,FRA,France,Athletics,1984
1813,Men,Javelin C8,Gold,USA,USA,Athletics,1984
1814,Men,Javelin C8,Silver,AUT,Austria,Athletics,1984
1815,Men,Javelin C8,Bronze,NED,Netherlands,Athletics,1984
1816,Men,Javelin L3,Gold,ESP,Spain,Athletics,1984
1817,Men,Javelin L3,Silver,SWE,Sweden,Athletics,1984
1818,Men,Javelin L3,Bronze,GBR,UK,Athletics,1984
1819,Men,Javelin L5,Gold,FRG,Germany,Athletics,1984
1820,Men,Javelin L5,Silver,LUX,Luxembourg,Athletics,1984
1821,Men,Javelin L5,Bronze,HUN,Hungary,Athletics,1984
1822,Men,Javelin L6,Gold,GBR,UK,Athletics,1984
1823,Men,Javelin L6,Silver,IND,India,Athletics,1984
1824,Men,Javelin L6,Bronze,IND,India,Athletics,1984
1825,Men,Javelin 2,Gold,SWE,Sweden,Athletics,1984
1826,Men,Javelin 2,Silver,NED,Netherlands,Athletics,1984
1827,Men,Javelin 2,Bronze,FRG,Germany,Athletics,1984
1828,Men,Javelin 3,Gold,YUG,Serbia,Athletics,1984
1829,Men,Javelin 3,Silver,USA,USA,Athletics,1984
1830,Men,Javelin 3,Bronze,NOR,Norway,Athletics,1984
1831,Men,Javelin 4,Gold,FRG,Germany,Athletics,1984
1832,Men,Javelin 4,Silver,GBR,UK,Athletics,1984
1833,Men,Javelin 4,Bronze,AUT,Austria,Athletics,1984
1834,Men,Javelin 5,Gold,POL,Poland,Athletics,1984
1835,Men,Javelin 5,Silver,BEL,Belgium,Athletics,1984
1836,Men,Javelin 5,Bronze,BRN,Bahrain,Athletics,1984
1837,Men,Javelin 6,Gold,SWE,Sweden,Athletics,1984
1838,Men,Javelin 6,Silver,ISR,Israel,Athletics,1984
1839,Men,Javelin 6,Bronze,ISR,Israel,Athletics,1984
1840,Men,Club Throw 1A,Gold,USA,USA,Athletics,1984
1841,Men,Club Throw 1A,Silver,MEX,Mexico,Athletics,1984
1842,Men,Club Throw 1A,Bronze,USA,USA,Athletics,1984
1843,Men,Club Throw C2,Gold,YUG,Serbia,Athletics,1984
1844,Men,Club Throw C2,Silver,IRL,Ireland,Athletics,1984
1845,Men,Club Throw C2,Bronze,GBR,UK,Athletics,1984
1846,Men,Club Throw C3,Gold,IRL,Ireland,Athletics,1984
1847,Men,Club Throw C3,Silver,GBR,UK,Athletics,1984
1848,Men,Club Throw C3,Bronze,IRL,Ireland,Athletics,1984
1849,Men,Club Throw C4,Gold,GBR,UK,Athletics,1984
1850,Men,Club Throw C4,Silver,NOR,Norway,Athletics,1984
1851,Men,Club Throw C4,Bronze,USA,USA,Athletics,1984
1852,Men,Club Throw C5,Gold,FRG,Germany,Athletics,1984
1853,Men,Club Throw C5,Silver,GBR,UK,Athletics,1984
1854,Men,Club Throw C5,Bronze,GBR,UK,Athletics,1984
1855,Men,Club Throw C6,Gold,GBR,UK,Athletics,1984
1856,Men,Club Throw C6,Silver,FRG,Germany,Athletics,1984
1857,Men,Club Throw C6,Bronze,USA,USA,Athletics,1984
1858,Men,Club Throw L1,Gold,NOR,Norway,Athletics,1984
1859,Men,Club Throw L1,Silver,IRL,Ireland,Athletics,1984
1860,Men,Club Throw L1,Bronze,GBR,UK,Athletics,1984
1861,Men,Distance Throw C1,Gold,IRL,Ireland,Athletics,1984
1862,Men,Distance Throw C1,Silver,USA,USA,Athletics,1984
1863,Men,Distance Throw C1,Bronze,GBR,UK,Athletics,1984
1864,Men,Distance Throw C2,Gold,FIN,Finland,Athletics,1984
1865,Men,Distance Throw C2,Silver,USA,USA,Athletics,1984
1866,Men,Distance Throw C2,Bronze,FRG,Germany,Athletics,1984
1867,Men,Precision Throw C1,Gold,DEN,Denmark,Athletics,1984
1868,Men,Precision Throw C1,Silver,IRL,Ireland,Athletics,1984
1869,Men,Precision Throw C1,Bronze,USA,USA,Athletics,1984
1870,Men,Medicine Ball Thrust C2,Gold,USA,USA,Athletics,1984
1871,Men,Medicine Ball Thrust C2,Silver,MEX,Mexico,Athletics,1984
1872,Men,Medicine Ball Thrust C2,Bronze,IRL,Ireland,Athletics,1984
1873,Men,Pentathlon 1A,Gold,USA,USA,Athletics,1984
1874,Men,Pentathlon 1A,Silver,FRG,Germany,Athletics,1984
1875,Men,Pentathlon 1A,Bronze,FRG,Germany,Athletics,1984
1876,Men,Pentathlon 1B,Gold,FRG,Germany,Athletics,1984
1877,Men,Pentathlon 1B,Silver,USA,USA,Athletics,1984
1878,Men,Pentathlon 1B,Bronze,FRA,France,Athletics,1984
1879,Men,Pentathlon 1C,Gold,FRG,Germany,Athletics,1984
1880,Men,Pentathlon 1C,Silver,BRA,Brazil,Athletics,1984
1881,Men,Pentathlon 1C,Bronze,USA,USA,Athletics,1984
1882,Men,Pentathlon B1,Gold,YUG,Serbia,Athletics,1984
1883,Men,Pentathlon B1,Silver,HUN,Hungary,Athletics,1984
1884,Men,Pentathlon B1,Bronze,NOR,Norway,Athletics,1984
1885,Men,Pentathlon B2,Gold,AUS,Australia,Athletics,1984
1886,Men,Pentathlon B2,Silver,BEL,Belgium,Athletics,1984
1887,Men,Pentathlon B2,Bronze,POL,Poland,Athletics,1984
1888,Men,Pentathlon B3,Gold,GBR,UK,Athletics,1984
1889,Men,Pentathlon B3,Silver,GDR,Germany,Athletics,1984
1890,Men,Pentathlon B3,Bronze,USA,USA,Athletics,1984
1891,Men,Pentathlon 2,Gold,SWE,Sweden,Athletics,1984
1892,Men,Pentathlon 2,Silver,FRG,Germany,Athletics,1984
1893,Men,Pentathlon 2,Bronze,FIN,Finland,Athletics,1984
1894,Men,Pentathlon 3,Gold,NOR,Norway,Athletics,1984
1895,Men,Pentathlon 3,Silver,MEX,Mexico,Athletics,1984
